State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,6,6,7,5,5,2,5,4,3,4,4,0
2005,5,5,6,4,3,2,3,3,3,2,3,0
2006,3,5,5,3,3,4,3,3,3,5,3,0
2007,5,4,4,2,4,3,4,5,5,4,3,0
2008,3,5,4,5,3,4,3,4,4,4,3,0
2009,5,4,6,5,4,4,4,5,4,5,4,0
2010,6,5,5,5,5,5,5,5,5,5,4,0
2011,6,6,9,7,7,6,6,6,6,6,6,0
2012,8,8,9,8,8,9,8,9,8,9,14,0
2013,13,16,14,13,19,16,15,18,17,14,15,0
2014,20,21,21,20,19,20,23,22,24,18,17,0
2015,22,25,24,23,25,25,24,23,23,22,21,0
2016,37,38,43,49,37,41,43,41,41,33,38,0
2017,54,59,67,68,68,68,78,64,65,55,60,0
2018,71,64,74,100,71,68,62,48,35,30,30,0
2019,31,28,26,22,20,20,19,17,17,15,13,0
