State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jan,1,1,2,1,1,3,11,25,56,100,94,68,45,44,45,33
Feb,1,1,1,1,1,3,9,22,52,88,77,48,40,35,35,22
Mar,2,1,1,1,2,3,8,28,50,81,74,49,38,36,31,20
Apr,1,2,1,1,1,4,11,26,52,90,71,49,43,32,31,18
May,2,1,1,1,1,4,9,26,53,80,63,49,39,31,29,16
Jun,2,1,1,1,1,5,9,28,59,77,68,43,38,29,26,17
Jul,1,1,1,1,2,5,9,30,57,86,61,41,34,31,29,16
Aug,1,1,1,2,2,6,10,32,58,76,58,48,34,28,23,15
Sep,2,1,1,1,2,7,12,29,59,72,58,40,31,24,20,13
Oct,1,1,1,1,2,5,12,30,63,66,49,36,29,27,21,13
Nov,1,2,1,1,2,5,11,30,53,56,44,30,25,26,18,13
Dec,1,1,1,2,2,6,12,29,53,55,45,29,26,26,23,12
