State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,1,1,2,1,2,2,1,1,2,1,1,1
2005,1,1,1,2,1,1,1,1,1,1,2,1
2006,2,1,1,1,1,1,1,1,1,1,1,1
2007,1,1,1,1,1,1,1,2,1,1,1,2
2008,1,1,2,1,1,1,2,2,2,2,2,2
2009,3,3,3,4,4,5,5,6,7,5,5,6
2010,11,9,8,11,9,9,9,10,12,12,11,12
2011,25,22,28,26,26,28,30,32,29,30,30,29
2012,56,52,50,52,53,59,57,58,59,63,53,53
2013,100,88,81,90,80,77,86,76,72,66,56,55
2014,94,77,74,71,63,68,61,58,58,49,44,45
2015,68,48,49,49,49,43,41,48,40,36,30,29
2016,45,40,38,43,39,38,34,34,31,29,25,26
2017,44,35,36,32,31,29,31,28,24,27,26,26
2018,45,35,31,31,29,26,29,23,20,21,18,23
2019,33,22,20,18,16,17,16,15,13,13,13,12
