State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2004,12,9,11,12,14,8,11,11,8,11,7,0
2005,10,15,12,11,9,9,12,11,9,11,9,0
2006,8,10,10,14,9,35,13,10,14,9,10,0
2007,14,10,15,19,14,14,13,16,13,13,14,0
2008,13,16,13,18,19,15,14,17,14,12,15,0
2009,18,17,17,18,17,20,17,19,20,30,22,0
2010,24,31,24,23,21,22,23,23,24,21,19,0
2011,39,35,35,28,26,24,41,40,35,33,31,0
2012,37,39,40,39,44,41,37,37,30,30,33,0
2013,41,39,39,38,36,34,34,32,28,29,36,0
2014,48,43,39,38,36,39,31,29,28,28,27,0
2015,33,32,34,38,49,39,37,36,35,34,33,0
2016,42,43,49,45,42,41,40,36,34,33,34,0
2017,38,39,37,36,49,100,85,59,52,49,53,0
2018,53,53,53,48,45,44,42,38,36,35,34,0
2019,42,38,43,36,39,40,37,35,46,58,49,0
